algo_name,total_cities,optimal_distance
AntColonyOptimization,84,16699.382601252433
NearestNeighbor,85,17858.96603619529
AntColonyOptimization,85,16964.44127069551
NearestNeighbor,86,17888.57538527907
AntColonyOptimization,86,17213.644527444267
NearestNeighbor,87,18035.17816413021
AntColonyOptimization,87,17185.612543989995
NearestNeighbor,88,18035.456845749162
AntColonyOptimization,88,17319.01746754401
NearestNeighbor,89,18036.61689446038
AntColonyOptimization,89,17301.16182540655
NearestNeighbor,90,17829.4201874311
AntColonyOptimization,90,17202.006015439936
NearestNeighbor,91,17833.44896436029
AntColonyOptimization,91,17200.769203278698
NearestNeighbor,92,17852.626999882537
AntColonyOptimization,92,17394.112159381722
NearestNeighbor,93,17865.026285845637
AntColonyOptimization,93,17262.51495366039
NearestNeighbor,94,17856.321427153318
AntColonyOptimization,94,16836.2175330606
NearestNeighbor,95,17861.77035433849
AntColonyOptimization,95,17432.579556205175
NearestNeighbor,96,17913.781410839605
AntColonyOptimization,96,16963.60688630093
NearestNeighbor,97,17913.933206399473
AntColonyOptimization,97,17377.258969339666
NearestNeighbor,98,17913.96305866887
AntColonyOptimization,98,16912.58110538497
NearestNeighbor,99,17898.936047030416
AntColonyOptimization,99,17082.13959258903
NearestNeighbor,100,18079.58197997757
AntColonyOptimization,100,17182.432329422165
NearestNeighbor,101,17996.37782316667
AntColonyOptimization,101,17581.73530066971
NearestNeighbor,102,17996.518885801757
AntColonyOptimization,102,16756.86468127722
NearestNeighbor,103,18080.42976880265
AntColonyOptimization,103,17411.577867727123
NearestNeighbor,104,18103.797265580142
AntColonyOptimization,104,17396.060083775137
NearestNeighbor,105,18109.45301757249
AntColonyOptimization,105,17517.59917947281
NearestNeighbor,106,18135.1580872793
AntColonyOptimization,106,17451.496682062563
NearestNeighbor,107,18177.439646891282
AntColonyOptimization,107,17664.596230696985
NearestNeighbor,108,18190.195833415695
AntColonyOptimization,108,17273.271767617527
NearestNeighbor,109,18200.49594983696
AntColonyOptimization,109,17574.20066385597
NearestNeighbor,110,18241.97103711143
AntColonyOptimization,110,17465.499391304096
NearestNeighbor,111,18326.496924595558
AntColonyOptimization,111,17482.198448468327
NearestNeighbor,112,18336.239748287942
AntColonyOptimization,112,17890.516962307367
NearestNeighbor,113,18629.695058092624
AntColonyOptimization,113,17606.309829886875
NearestNeighbor,114,18630.27940293485
AntColonyOptimization,114,18113.72803478692
NearestNeighbor,115,18630.87717794253
AntColonyOptimization,115,18013.77274801744
NearestNeighbor,116,19301.813854726894
AntColonyOptimization,116,18067.838898242364
NearestNeighbor,117,19442.335282663837
AntColonyOptimization,117,18765.07691227197
NearestNeighbor,118,19480.289308840933
AntColonyOptimization,118,18934.628621366497
NearestNeighbor,119,20698.510238448856
AntColonyOptimization,119,19735.925153574823
NearestNeighbor,120,20709.097904415998
AntColonyOptimization,120,18955.01333630965
NearestNeighbor,121,19682.64067376933
AntColonyOptimization,121,19605.76469709251
NearestNeighbor,122,19720.739441218888
AntColonyOptimization,122,19402.89945067423
NearestNeighbor,123,19849.503696489417
AntColonyOptimization,123,19825.163479251973
NearestNeighbor,124,19905.781218354197
AntColonyOptimization,124,20008.500273440142
NearestNeighbor,125,20026.264197996985
AntColonyOptimization,125,19929.702888026557
NearestNeighbor,126,20592.653141885014
AntColonyOptimization,126,19741.502528607674
NearestNeighbor,127,20593.870330415884
AntColonyOptimization,127,20539.37851920475
NearestNeighbor,128,20611.900197187755
AntColonyOptimization,128,20301.15016218326
NearestNeighbor,129,21220.697862551187
AntColonyOptimization,129,19915.97556724355
NearestNeighbor,130,21044.870349546374
AntColonyOptimization,130,20271.128830528673
NearestNeighbor,131,21051.695027713875
AntColonyOptimization,131,20780.787468282426
NearestNeighbor,132,21074.6288381039
AntColonyOptimization,132,20306.578474473354
NearestNeighbor,133,21324.77183428748
AntColonyOptimization,133,20493.618205157978
NearestNeighbor,134,21232.425311911848
AntColonyOptimization,134,20854.686168538392
NearestNeighbor,135,21396.416164495586
AntColonyOptimization,135,20728.32829235274
NearestNeighbor,136,21230.66510351157
AntColonyOptimization,136,20856.510854833577
NearestNeighbor,137,21304.736533340525
AntColonyOptimization,137,20446.600764798557
NearestNeighbor,138,21330.05930830396
AntColonyOptimization,138,21212.55869550104
NearestNeighbor,139,21402.779959639727
AntColonyOptimization,139,20771.966616966267
NearestNeighbor,140,21213.19202089269
AntColonyOptimization,140,20221.883622726673
NearestNeighbor,141,22037.57166242435
AntColonyOptimization,141,20949.721116029406
NearestNeighbor,142,22047.636059183944
AntColonyOptimization,142,20852.170955801554
NearestNeighbor,143,22085.45728877052
AntColonyOptimization,143,21519.507952409393
NearestNeighbor,144,22202.177444418165
AntColonyOptimization,144,21720.1495730396
NearestNeighbor,145,22257.058511839557
AntColonyOptimization,145,21352.31100470781
NearestNeighbor,146,22332.592574879756
AntColonyOptimization,146,21667.345971075225
NearestNeighbor,147,22495.62429531552
AntColonyOptimization,147,21167.774416274395
NearestNeighbor,148,22675.62557043718
AntColonyOptimization,148,21264.355724513847
NearestNeighbor,149,22675.62557043718
AntColonyOptimization,149,21370.24374726076
NearestNeighbor,150,22675.62557043718
AntColonyOptimization,150,21501.203575830303
NearestNeighbor,151,22675.62557043718
AntColonyOptimization,151,21747.97335705372
NearestNeighbor,152,22675.62557043718
AntColonyOptimization,152,21699.352105837137
NearestNeighbor,153,22675.62557043718
AntColonyOptimization,153,21523.610501753566
NearestNeighbor,154,22675.62557043718
AntColonyOptimization,154,21823.269307715353
NearestNeighbor,155,22675.62557043718
AntColonyOptimization,155,21223.10620583695
NearestNeighbor,156,22675.62557043718
AntColonyOptimization,156,21874.503132904832
NearestNeighbor,157,22675.62557043718
AntColonyOptimization,157,21727.70040155554
NearestNeighbor,158,22675.62557043718
AntColonyOptimization,158,21612.528008845762
NearestNeighbor,159,22675.62557043718
AntColonyOptimization,159,20824.46192198483
NearestNeighbor,160,22675.62557043718
AntColonyOptimization,160,21442.701389291775
NearestNeighbor,161,22675.62557043718
AntColonyOptimization,161,21623.258852233135
NearestNeighbor,162,22675.62557043718
AntColonyOptimization,162,21737.007153929775
NearestNeighbor,163,22675.62557043718
AntColonyOptimization,163,21199.351644048154
NearestNeighbor,164,22675.62557043718
AntColonyOptimization,164,21366.028336349467
NearestNeighbor,165,22675.62557043718
AntColonyOptimization,165,21152.782476295928
NearestNeighbor,166,22675.62557043718
AntColonyOptimization,166,21419.893928505564
NearestNeighbor,167,22675.62557043718
AntColonyOptimization,167,21987.83374787102
NearestNeighbor,168,22675.62557043718
AntColonyOptimization,168,21112.726700174793
NearestNeighbor,169,22675.62557043718
AntColonyOptimization,169,21468.57205499547
NearestNeighbor,170,22675.62557043718
AntColonyOptimization,170,21363.948304727888
NearestNeighbor,171,22675.62557043718
AntColonyOptimization,171,21125.532330318096
NearestNeighbor,172,22675.62557043718
AntColonyOptimization,172,21246.57011068177
NearestNeighbor,173,22675.62557043718
AntColonyOptimization,173,21004.31022649174
NearestNeighbor,174,22675.62557043718
AntColonyOptimization,174,21669.707221705
NearestNeighbor,175,22675.62557043718
AntColonyOptimization,175,21627.944745961606
NearestNeighbor,176,22675.62557043718
AntColonyOptimization,176,21621.335824652626
NearestNeighbor,177,22675.62557043718
AntColonyOptimization,177,21452.206426241857
NearestNeighbor,178,22675.62557043718
AntColonyOptimization,178,21342.950221766212
NearestNeighbor,179,22675.62557043718
AntColonyOptimization,179,22052.112154114337
NearestNeighbor,180,22675.62557043718
AntColonyOptimization,180,21193.234552412443
NearestNeighbor,181,22675.62557043718
AntColonyOptimization,181,21708.808178030544
NearestNeighbor,182,22675.62557043718
AntColonyOptimization,182,21734.95193211584
NearestNeighbor,183,22675.62557043718
AntColonyOptimization,183,22074.422916941043
NearestNeighbor,184,22675.62557043718
AntColonyOptimization,184,21806.69812215073
NearestNeighbor,185,22675.62557043718
AntColonyOptimization,185,21601.810858214514
NearestNeighbor,186,22675.62557043718
AntColonyOptimization,186,21716.63903196704
NearestNeighbor,187,22675.62557043718
AntColonyOptimization,187,21791.99946642436
NearestNeighbor,188,22675.62557043718
AntColonyOptimization,188,21553.556252487306
NearestNeighbor,189,22675.62557043718
AntColonyOptimization,189,21872.81055294159
NearestNeighbor,190,22675.62557043718
AntColonyOptimization,190,21562.186102751086
NearestNeighbor,191,22675.62557043718
AntColonyOptimization,191,21541.08657530832
NearestNeighbor,192,22675.62557043718
AntColonyOptimization,192,22058.08655738904
NearestNeighbor,193,22675.62557043718
AntColonyOptimization,193,21180.499126565355
NearestNeighbor,194,22675.62557043718
AntColonyOptimization,194,21408.66635437648
NearestNeighbor,195,22675.62557043718
